Carimbo de data/hora,Qual sua faixa etária?,Qual sua situação profissional?,Qual sua renda mensal aproximada?,Você costuma controlar seus gastos mensais?,Como você controla seus gastos?,Com que frequência você registra seus gastos?,Você costuma ultrapassar seu orçamento mensal?  ,Você costuma planejar seus gastos antes de receber seu dinheiro?,Você possui uma reserva de emergência?,Faz algum tipo de investimento?,"Se sim, qual?",Você considera que possui educação financeira suficiente?,Você tem interesse em aprender mais sobre educação financeira?,Você já fez algum curso ou consumiu conteúdo sobre finanças?  ,Onde você costuma buscar informações sobre finanças?  (marque todas que se aplicam),Você teve algum tipo de educação financeira na escola?,"Se sim, o quão eficiente você sentiu que foram essas aulas? (não responda caso não tenha tido aulas)",Sente falta de um conhecimento financeiro mais amplo no dia a dia?,Você acredita que ferramentas digitais podem melhorar sua educação financeira?,"Você entende conceitos básicos de finanças (ex: juros, orçamento, dívida, imposto de renda, inadimplência)",Qual desses temas você considera mais difícil?  (marque todas que se aplicam)    ,O que mais dificulta seu aprendizado sobre finanças?,Você já utilizou algum aplicativo de controle financeiro?,"Se sim, qual foi sua experiência?  (não responda caso não tenha tido experiência)",O que você mais gostaria de ver em um sistema de controle financeiro?,Qual formato você prefere para aprender sobre finanças?  (marque todas que se aplicam),Qual sua maior dificuldade em relação ao dinheiro?  (marque todas que se aplicam),Você acha que um dashboard simples ajudaria no controle financeiro?,Que tipo de ajuda você considera mais útil?,"Atualmente, você se encontra em situação de inadimplência (com contas ou dívidas em atraso)?",Quais tipos de pendências financeira você possui atualmente? (marque todas que se aplicam),Com que frequência você enfrenta dificuldades para pagar suas contas no prazo?  ,"Você teria interesse em usar um app/site de controle financeiro que, além de organizar seus gastos, também ofereça conteúdos e orientações para melhorar sua educação financeira?  "
05/05/2026 20:28:57,18 a 24 anos,Estudante,Não possuo renda fixa,Não,Não controlo,Não registro,Às vezes,"Não possuo renda fixa, portanto não planejo",Sim,Não,,4,Talvez,Sim,Não busco informações,Sim,4,Sim,Sim,"Sim, bem",Investimentos,preguiça ,Não,,informação,Redes sociais,Economizar,Sim,Alertas de limite,Não,Não possuo pendências,Não pago contas,Talvez
05/05/2026 20:33:17,18 a 24 anos,Estagiário,1 a 2 salários mínimos,Não,Não controlo,Não registro,Nunca,Possuo renda mas não planejo,Sim,Sim,Fundos e renda fixa,2,Sim,Não,"Redes Sociais, Não busco informações",Não,3,Parcialmente,Sim,Parcialmente,"Investimentos, Juros",Falta de tempo,Não,,,"Vídeos, Redes sociais",Entender finanças,Sim,Conteúdos educativos,Não,Não possuo pendências,Não pago contas,Talvez
05/05/2026 20:34:38,18 a 24 anos,Estagiário,Até 1 salário mínimo,Sim,Anotações (caderno/bloco de notas),Semanalmente,Raramente,Sempre,Estou construindo,Sim,CDI pos fixado,3,Sim,Não,"Youtube, Bancos, Redes Sociais",Sim,3,Sim,Sim,Parcialmente,"Investimentos, Juros",Falta de tempo pra aprender ,Não,,,"Vídeos, Aplicativos, Cursos online, Redes sociais",Entender finanças,Sim,Planejamento automático,Não,Não possuo pendências,Às vezes,Sim
05/05/2026 20:44:38,18 a 24 anos,Estudante,Até 1 salário mínimo,Sim,Anotações (caderno/bloco de notas),Semanalmente,Às vezes,Raramente,Sim,Sim,"Poupança, Bitcoin",5,Sim,Sim,"Youtube, Bancos, Redes Sociais",Sim,5,Parcialmente,Sim,"Sim, bem",Dívidas,Aplicação ,Não,,Explicação na prática ,"Vídeos, Aplicativos, Cursos online, Artigos, Redes sociais",Planejar o mês,Sim,Gráficos e visualização de gastos,Não,"Contas básicas (águas, luz, internet)",Nunca,Sim
05/05/2026 20:46:59,18 a 24 anos,Estudante,Não possuo renda fixa,Às vezes,Anotações (caderno/bloco de notas),Semanalmente,Raramente,"Não possuo renda fixa, portanto não planejo",Não,Não,,3,Sim,Não,"Youtube, Redes Sociais",Sim,2,Sim,Sim,Muito pouco,"Investimentos, Dívidas, Juros",,Não,,,"Vídeos, Aplicativos, Redes sociais",Entender finanças,Não sei o que é dashboard,Conteúdos educativos,Não,Não possuo pendências,Nunca,Sim
05/05/2026 20:50:47,18 a 24 anos,Estudante,Não possuo renda fixa,Às vezes,Anotações (caderno/bloco de notas),Raramente,Raramente,"Não possuo renda fixa, portanto não planejo",Sim,Não,,4,Sim,Sim,"Youtube, Redes Sociais",Não,3,Sim,Sim,"Sim, bem","Planejamento financeiro, Juros",,Não,,,"Aplicativos, Redes sociais",Economizar,Sim,Gráficos e visualização de gastos,Não,Não possuo pendências,Não pago contas,Sim
05/05/2026 20:56:23,18 a 24 anos,Estudante,Não possuo renda fixa,Não,Não controlo,Não registro,Nunca,Às vezes,Sim,Sim,reserva de emergência em CDB e Tesouro Direito (os mais seguros só pela falta de renda no momento),4,Sim,Sim,"Youtube, Bancos, Redes Sociais, Cursos Online",Sim,2,Sim,Sim,Parcialmente,"Controle de gastos, Dívidas, Juros",,Sim,2,automatização com gastos feitos pelo telefone usando a carteira,"Vídeos, Aplicativos, Cursos online, Artigos",Controlar gastos,Talvez,Planejamento automático,Não,Não possuo pendências,Não pago contas,Sim
05/05/2026 21:04:32,45 ou mais,Autônomo / Freelancer,Mais de 5 salários mínimos,Sim,Anotações (caderno/bloco de notas),Raramente,Não tenho orçamento mensal,"Não possuo renda fixa, portanto não planejo",Sim,Sim,Fundos de investimento ,4,Sim,Não,Bancos,Não,2,Sim,Sim,"Sim, bem",Investimentos,,Não,2,,"Vídeos, Cursos online, Artigos",Economizar,Sim,Conteúdos educativos,Não,Não possuo pendências,Raramente,Sim
05/05/2026 21:06:43,18 a 24 anos,Estudante,1 a 2 salários mínimos,Sim,Anotações (caderno/bloco de notas),Semanalmente,Raramente,Às vezes,Estou construindo,Sim,Renda fixa,3,Talvez,Não,Não busco informações,Sim,2,Parcialmente,Sim,Parcialmente,Investimentos,,Não,,,"Vídeos, Aplicativos, Redes sociais",Economizar,Sim,Alertas de limite,Não,Não possuo pendências,Não pago contas,Talvez
05/05/2026 21:07:13,18 a 24 anos,Estudante,Não possuo renda fixa,Sim,Planilhas,Semanalmente,Às vezes,"Não possuo renda fixa, portanto não planejo",Estou construindo,Não,,3,Sim,Sim,"Youtube, Bancos, Redes Sociais, Cursos Online",Sim,1,Sim,Sim,Parcialmente,"Investimentos, Juros",,Sim,2,,"Vídeos, Aplicativos, Cursos online, Redes sociais","Controlar gastos, Planejar o mês, Entender finanças",Talvez,Gráficos e visualização de gastos,Não,Não possuo pendências,Às vezes,Sim
