timestamp;faixa_etaria;situacao_profissional;renda_mensal;controla_gastos;como_controla_gastos;freq_registro_gastos;ultrapassa_orcamento;planeja_gastos;tem_reserva_emergencia;faz_investimento;tipo_investimento;nota_educ_financeira;interesse_aprender;fez_curso_financas;fontes_informacao;educ_financeira_escola;se_sim_o_quao_eficiente_voce_sentiu_que_foram_essas_aulas_nao_responda_caso_nao_tenha_tido_aulas;sente_falta_educ;acredita_ferramentas_digitais;entende_conceitos_basicos;temas_dificeis;dificuldade_aprendizado;usou_app_financeiro;se_sim_qual_foi_sua_experiencia_nao_responda_caso_nao_tenha_tido_experiencia;desejo_sistema;formato_aprendizado;maior_dificuldade_dinheiro;dashboard_ajudaria;tipo_ajuda_util;esta_inadimplente;tipos_pendencias;freq_dificuldade_pagamento;voce_teria_interesse_em_usar_um_app_site_de_controle_financeiro_que_alem_de_organizar_seus_gastos_tambem_ofereca_conteudos_e_orientacoes_para_melhorar_sua_educacao_financeira
2026-05-05 20:28:57;18 A 24 Anos;Estudante;Não Possuo Renda Fixa;Não;Não controlo;Não registro;Às vezes;Não possuo renda fixa, portanto não planejo;Sim;Não;Não se aplica;4;Talvez;Sim;Não busco informações;Sim;4.0;Sim;Sim;Sim, bem;Investimentos;preguiça ;Não;Não se aplica;informação;Redes sociais;Economizar;Sim;Alertas de limite;Não;Não possuo pendências;Não pago contas;Talvez
2026-05-05 20:33:17;18 A 24 Anos;Estagiário;1 A 2 Salários Mínimos;Não;Não controlo;Não registro;Nunca;Possuo renda mas não planejo;Sim;Sim;Fundos e renda fixa;2;Sim;Não;Redes Sociais, Não busco informações;Não;3.0;Parcialmente;Sim;Parcialmente;Investimentos, Juros;Falta de tempo;Não;Não se aplica;Não se aplica;Vídeos, Redes sociais;Entender finanças;Sim;Conteúdos educativos;Não;Não possuo pendências;Não pago contas;Talvez
2026-05-05 20:34:38;18 A 24 Anos;Estagiário;Até 1 Salário Mínimo;Sim;Anotações (caderno/bloco de notas);Semanalmente;Raramente;Sempre;Estou Construindo;Sim;CDI pos fixado;3;Sim;Não;Youtube, Bancos, Redes Sociais;Sim;3.0;Sim;Sim;Parcialmente;Investimentos, Juros;Falta de tempo pra aprender ;Não;Não se aplica;Não se aplica;Vídeos, Aplicativos, Cursos online, Redes sociais;Entender finanças;Sim;Planejamento automático;Não;Não possuo pendências;Às vezes;Sim
2026-05-05 20:44:38;18 A 24 Anos;Estudante;Até 1 Salário Mínimo;Sim;Anotações (caderno/bloco de notas);Semanalmente;Às vezes;Raramente;Sim;Sim;Poupança, Bitcoin;5;Sim;Sim;Youtube, Bancos, Redes Sociais;Sim;5.0;Parcialmente;Sim;Sim, bem;Dívidas;Aplicação ;Não;Não se aplica;Explicação na prática ;Vídeos, Aplicativos, Cursos online, Artigos, Redes sociais;Planejar o mês;Sim;Gráficos e visualização de gastos;Não;Contas básicas (águas, luz, internet);Nunca;Sim
2026-05-05 20:46:59;18 A 24 Anos;Estudante;Não Possuo Renda Fixa;Às vezes;Anotações (caderno/bloco de notas);Semanalmente;Raramente;Não possuo renda fixa, portanto não planejo;Não;Não;Não se aplica;3;Sim;Não;Youtube, Redes Sociais;Sim;2.0;Sim;Sim;Muito pouco;Investimentos, Dívidas, Juros;Não se aplica;Não;Não se aplica;Não se aplica;Vídeos, Aplicativos, Redes sociais;Entender finanças;Não sei o que é dashboard;Conteúdos educativos;Não;Não possuo pendências;Nunca;Sim
2026-05-05 20:50:47;18 A 24 Anos;Estudante;Não Possuo Renda Fixa;Às vezes;Anotações (caderno/bloco de notas);Raramente;Raramente;Não possuo renda fixa, portanto não planejo;Sim;Não;Não se aplica;4;Sim;Sim;Youtube, Redes Sociais;Não;3.0;Sim;Sim;Sim, bem;Planejamento financeiro, Juros;Não se aplica;Não;Não se aplica;Não se aplica;Aplicativos, Redes sociais;Economizar;Sim;Gráficos e visualização de gastos;Não;Não possuo pendências;Não pago contas;Sim
2026-05-05 20:56:23;18 A 24 Anos;Estudante;Não Possuo Renda Fixa;Não;Não controlo;Não registro;Nunca;Às vezes;Sim;Sim;reserva de emergência em CDB e Tesouro Direito (os mais seguros só pela falta de renda no momento);4;Sim;Sim;Youtube, Bancos, Redes Sociais, Cursos Online;Sim;2.0;Sim;Sim;Parcialmente;Controle de gastos, Dívidas, Juros;Não se aplica;Sim;2.0;automatização com gastos feitos pelo telefone usando a carteira;Vídeos, Aplicativos, Cursos online, Artigos;Controlar gastos;Talvez;Planejamento automático;Não;Não possuo pendências;Não pago contas;Sim
2026-05-05 21:04:32;45 Ou Mais;Autônomo / Freelancer;Mais De 5 Salários Mínimos;Sim;Anotações (caderno/bloco de notas);Raramente;Não tenho orçamento mensal;Não possuo renda fixa, portanto não planejo;Sim;Sim;Fundos de investimento ;4;Sim;Não;Bancos;Não;2.0;Sim;Sim;Sim, bem;Investimentos;Não se aplica;Não;2.0;Não se aplica;Vídeos, Cursos online, Artigos;Economizar;Sim;Conteúdos educativos;Não;Não possuo pendências;Raramente;Sim
2026-05-05 21:06:43;18 A 24 Anos;Estudante;1 A 2 Salários Mínimos;Sim;Anotações (caderno/bloco de notas);Semanalmente;Raramente;Às vezes;Estou Construindo;Sim;Renda fixa;3;Talvez;Não;Não busco informações;Sim;2.0;Parcialmente;Sim;Parcialmente;Investimentos;Não se aplica;Não;Não se aplica;Não se aplica;Vídeos, Aplicativos, Redes sociais;Economizar;Sim;Alertas de limite;Não;Não possuo pendências;Não pago contas;Talvez
2026-05-05 21:07:13;18 A 24 Anos;Estudante;Não Possuo Renda Fixa;Sim;Planilhas;Semanalmente;Às vezes;Não possuo renda fixa, portanto não planejo;Estou Construindo;Não;Não se aplica;3;Sim;Sim;Youtube, Bancos, Redes Sociais, Cursos Online;Sim;1.0;Sim;Sim;Parcialmente;Investimentos, Juros;Não se aplica;Sim;2.0;Não se aplica;Vídeos, Aplicativos, Cursos online, Redes sociais;Controlar gastos, Planejar o mês, Entender finanças;Talvez;Gráficos e visualização de gastos;Não;Não possuo pendências;Às vezes;Sim
2026-05-05 21:40:58;45 Ou Mais;Autônomo / Freelancer;2 A 5 Salários Mínimos;Sim;De cabeça;Não registro;Nunca;Não possuo renda fixa, portanto não planejo;Sim;Não;Não se aplica;1;Sim;Não;Redes Sociais;Não;Não se aplica;Sim;Sim;Muito pouco;Investimentos;Não se aplica;Não;Não se aplica;Não se aplica;Aplicativos;Planejar o mês, Entender finanças;Não sei o que é dashboard;Planejamento automático;Não;Não possuo pendências;Às vezes;Sim
